date,total_load,peak_load,valley_load,load_range,load_std,time_of_peak,time_of_valley,morning_load,afternoon_load,day_of_week,is_weekend
2025-03-27,19396.880000000005,570.88,51.76,519.12,171.66446630850095,07:00:00,01:15:00,13042.720000000005,6354.159999999996,3,False
2025-03-28,18527.43999999999,554.4,50.64,503.76,157.7559669580748,06:15:00,23:30:00,12446.959999999997,6080.4800000000005,4,False
2025-03-29,4801.4400000000005,64.08,39.92,24.159999999999997,5.67000232061588,19:00:00,14:45:00,2414.9599999999996,2386.48,5,True
2025-03-30,9938.800000000003,227.92,50.16,177.76,64.21447103126026,07:00:00,02:00:00,6522.880000000002,3415.92,6,True
2025-03-31,16691.119999999995,496.56,56.96,439.6,133.56296114107357,06:00:00,23:30:00,10919.6,5771.5199999999995,0,False
2025-04-01,13473.119999999994,311.76,55.92,255.83999999999997,85.42948432232832,06:30:00,04:00:00,7916.559999999998,5556.560000000001,1,False
2025-04-02,13737.999999999996,297.2,54.8,242.39999999999998,92.18627448546108,13:00:00,22:30:00,7541.759999999999,6196.240000000001,2,False
2025-04-03,13808.8,315.44,54.72,260.72,93.35870073811425,13:00:00,00:15:00,7608.8,6199.999999999999,3,False
2025-04-04,13326.239999999998,297.12,55.52,241.6,85.59483098018427,11:00:00,02:15:00,7324.64,6001.599999999999,4,False
2025-04-05,6445.520000000001,88.8,55.52,33.279999999999994,8.048829881177783,22:45:00,09:15:00,3015.6800000000007,3429.84,5,True
2025-04-06,11778.719999999996,319.52,48.88,270.64,78.50539451796323,05:30:00,16:15:00,8368.64,3410.0800000000004,6,True
2025-04-07,20043.120000000006,641.84,57.68,584.1600000000001,176.19839428744433,06:00:00,23:45:00,13973.199999999999,6069.92,0,False
2025-04-08,18818.559999999987,602.4,55.52,546.88,158.64099759929104,06:30:00,21:15:00,12199.839999999998,6618.72,1,False
2025-04-09,15548.800000000001,368.08,50.0,318.08,113.77297826134347,06:30:00,04:15:00,9217.92,6330.88,2,False
2025-04-10,15576.0,364.8,50.48,314.32,115.40984002560977,12:00:00,23:15:00,8859.840000000002,6716.160000000001,3,False
2025-04-11,15097.279999999999,328.56,48.16,280.4,109.32060887871982,11:45:00,22:30:00,8557.84,6539.439999999999,4,False
2025-04-12,4706.640000000001,61.36,39.68,21.68,5.333348706118196,01:30:00,09:45:00,2387.2000000000007,2319.440000000001,5,True
2025-04-13,8484.720000000001,164.4,47.28,117.12,46.80852781053334,09:30:00,03:45:00,5337.84,3146.8799999999997,6,True
2025-04-14,14158.799999999997,302.64,53.6,249.04,97.84914504104346,10:45:00,23:30:00,8535.6,5623.199999999999,0,False
2025-04-15,15280.239999999998,355.04,52.32,302.72,109.59224582314847,07:00:00,03:45:00,9123.999999999998,6156.240000000001,1,False
2025-04-16,15289.76,411.84,51.04,360.79999999999995,111.69394633425436,07:45:00,22:15:00,9270.16,6019.6,2,False
2025-04-17,19130.080000000013,360.96,50.8,310.15999999999997,118.74120535780558,12:00:00,02:15:00,8832.48,10297.6,3,False
2025-04-18,16748.719999999994,362.88,59.36,303.52,122.35362919072058,11:00:00,02:45:00,9533.92,7214.799999999997,4,False
2025-04-19,5911.200000000002,73.84,50.32,23.520000000000003,5.647346465842445,01:00:00,14:15:00,2946.4799999999996,2964.7200000000003,5,True
2025-04-20,8652.640000000001,176.8,49.84,126.96000000000001,40.6620826521962,11:00:00,16:15:00,5346.64,3305.9999999999995,6,True
